,Name,Role,Market Value,Squadra,Season
88,Sandro Tonali,Centrale,50000000.0,AC Milan,2022
89,Tommaso Pobega,Centrale,14000000.0,AC Milan,2022
90,Aster Vranckx,Centrale,8500000.0,AC Milan,2022
91,Antonio Gala,Centrale,75000.0,AC Milan,2022
92,Charles De Ketelaere,Trequartista,22000000.0,AC Milan,2022
93,Rafael Leão,Ala sinistra,90000000.0,AC Milan,2022
94,Ante Rebić,Ala sinistra,6000000.0,AC Milan,2022
95,Brahim Díaz,Ala destra,20000000.0,AC Milan,2022
96,Alexis Saelemaekers,Ala destra,15000000.0,AC Milan,2022
97,Junior Messias,Ala destra,4500000.0,AC Milan,2022
98,Divock Origi,Punta centrale,6000000.0,AC Milan,2022
99,Olivier Giroud,Punta centrale,4000000.0,AC Milan,2022
100,Marko Lazetić,Punta centrale,2000000.0,AC Milan,2022
101,Zlatan Ibrahimović,Punta centrale,2000000.0,AC Milan,2022
102,Wojciech Szczęsny,Portiere,10000000.0,Juventus FC,2022
103,Mattia Perin,Portiere,4000000.0,Juventus FC,2022
104,Gian Marco Crespi,Portiere,200000.0,Juventus FC,2022
105,Giovanni Garofani,Portiere,200000.0,Juventus FC,2022
106,Carlo Pinsoglio,Portiere,200000.0,Juventus FC,2022
107,Simone Scaglia,Portiere,25000.0,Juventus FC,2022
108,Bremer,Difensore centrale,40000000.0,Juventus FC,2022
109,Danilo,Difensore centrale,15000000.0,Juventus FC,2022
110,Federico Gatti,Difensore centrale,12000000.0,Juventus FC,2022
111,Daniele Rugani,Difensore centrale,2000000.0,Juventus FC,2022
112,Leonardo Bonucci,Difensore centrale,1500000.0,Juventus FC,2022
113,Alessandro Pio Riccio,Difensore centrale,700000.0,Juventus FC,2022
114,Filip Kostić,Terzino sinistro,22000000.0,Juventus FC,2022
115,Alex Sandro,Terzino sinistro,3000000.0,Juventus FC,2022
116,Mattia De Sciglio,Terzino destro,3000000.0,Juventus FC,2022
117,Tommaso Barbieri,Terzino destro,1200000.0,Juventus FC,2022
118,Manuel Locatelli,Mediano,30000000.0,Juventus FC,2022
119,Denis Zakaria,Mediano,18000000.0,Juventus FC,2022
120,Nicolò Rovella,Mediano,18000000.0,Juventus FC,2022
121,Leandro Paredes,Mediano,12000000.0,Juventus FC,2022
122,Enzo Barrenechea,Mediano,900000.0,Juventus FC,2022
123,Adrien Rabiot,Centrale,40000000.0,Juventus FC,2022
124,Nicolò Fagioli,Centrale,35000000.0,Juventus FC,2022
125,Weston McKennie,Centrale,18000000.0,Juventus FC,2022
126,Paul Pogba,Centrale,15000000.0,Juventus FC,2022
127,Fabio Miretti,Centrale,15000000.0,Juventus FC,2022
128,Alessandro Sersanti,Centrale,400000.0,Juventus FC,2022
129,Juan Cuadrado,Centrocampista di destra,4000000.0,Juventus FC,2022
130,Nikola Sekulov,Trequartista,600000.0,Juventus FC,2022
131,Mohamed Ihattaren,Trequartista,0.0,Juventus FC,2022
132,Samuel Iling-Junior,Ala sinistra,9000000.0,Juventus FC,2022
133,Federico Chiesa,Ala destra,40000000.0,Juventus FC,2022
134,Ángel Di María,Ala destra,8000000.0,Juventus FC,2022
135,Matías Soulé,Ala destra,4000000.0,Juventus FC,2022
136,Mattia Compagnon,Ala destra,400000.0,Juventus FC,2022
137,Dušan Vlahović,Punta centrale,70000000.0,Juventus FC,2022
138,Moise Kean,Punta centrale,18000000.0,Juventus FC,2022
139,Arkadiusz Milik,Punta centrale,8000000.0,Juventus FC,2022
140,Kaio Jorge,Punta centrale,3000000.0,Juventus FC,2022
141,Cosimo da Graça,Punta centrale,800000.0,Juventus FC,2022
142,Rui Patrício,Portiere,5000000.0,AS Roma,2022
143,Mile Svilar,Portiere,1500000.0,AS Roma,2022
144,Pietro Boer,Portiere,150000.0,AS Roma,2022
145,Gabriele Baldi,Portiere,100000.0,AS Roma,2022
146,Jacopo Del Bello,Portiere,25000.0,AS Roma,2022
147,Roger Ibañez,Difensore centrale,30000000.0,AS Roma,2022
148,Gianluca Mancini,Difensore centrale,18000000.0,AS Roma,2022
149,Diego Llorente,Difensore centrale,12000000.0,AS Roma,2022
150,Chris Smalling,Difensore centrale,8000000.0,AS Roma,2022
151,Marash Kumbulla,Difensore centrale,8000000.0,AS Roma,2022
152,Dimitrios Keramitsis,Difensore centrale,250000.0,AS Roma,2022
153,William Bianda,Difensore centrale,200000.0,AS Roma,2022
154,Brian Silva,Difensore centrale,75000.0,AS Roma,2022
