,anno,giornata,Home Team,Away Team,scorer,details
4142,2024,1,AC Milan,Torino FC,Duván Zapata,"Duván Zapata, Colpo di testa, 1° gol stagionaleAssist:Valentino Lazaro, Cross, 1° assist stagionale"
4143,2024,1,AC Milan,Torino FC,Álvaro Morata,"Álvaro Morata, Destro, 1° gol stagionaleAssist:Tijjani Reijnders, Tiro in porta, 1° assist stagionale"
4144,2024,1,AC Milan,Torino FC,Noah Okafor,"Noah Okafor, Destro, 1° gol stagionaleAssist:Yunus Musah, Cross, 1° assist stagionale"
4145,2024,2,AS Roma,AC Milan,Dennis Man,"Dennis Man, Sinistro, 2° gol stagionaleAssist:Emanuele Valeri, Passaggio, 1° assist stagionale"
4146,2024,2,AS Roma,AC Milan,Christian Pulisic,"Christian Pulisic, Destro, 1° gol stagionaleAssist:Rafael Leão, Passaggio, 1° assist stagionale"
4147,2024,2,AS Roma,AC Milan,Matteo Cancellieri,"Matteo Cancellieri, Destro, 1° gol stagionaleAssist:Pontus Almqvist, Passaggio, 1° assist stagionale"
4148,2024,3,SS Lazio,AC Milan,Strahinja Pavlović,"Strahinja Pavlović, Colpo di testa, 1° gol stagionaleAssist:Christian Pulisic, Corner, 1° assist stagionale"
4149,2024,3,SS Lazio,AC Milan,Taty Castellanos,"Taty Castellanos, Destro, 2° gol stagionaleAssist:Nuno Tavares, Cross, 1° assist stagionale"
4150,2024,3,SS Lazio,AC Milan,Boulaye Dia,"Boulaye Dia, Destro, 1° gol stagionaleAssist:Nuno Tavares, Passaggio, 2° assist stagionale"
4151,2024,3,SS Lazio,AC Milan,Rafael Leão,"Rafael Leão, Destro, 1° gol stagionaleAssist:Tammy Abraham, Passaggio, 1° assist stagionale"
4152,2024,4,AC Milan,Venezia FC,Theo Hernández,"Theo Hernández, Sinistro, 1° gol stagionaleAssist:Rafael Leão, Passaggio, 2° assist stagionale"
4153,2024,4,AC Milan,Venezia FC,Youssouf Fofana,"Youssouf Fofana, Colpo di testa, 1° gol stagionaleAssist:Christian Pulisic, Corner, 2° assist stagionale"
4154,2024,4,AC Milan,Venezia FC,Christian Pulisic,"Christian Pulisic, Rigore, 2° gol stagionaleAssist:Tammy Abraham, Rigore: fallo ai danni di"
4155,2024,4,AC Milan,Venezia FC,Tammy Abraham,"Tammy Abraham, Rigore, 1° gol stagionaleAssist:Rafael Leão, Rigore: fallo ai danni di"
4156,2024,5,FC Internazionale Milano,AC Milan,Christian Pulisic,"Christian Pulisic, Azione personale, 3° gol stagionaleAssist: Senza assist"
4157,2024,5,FC Internazionale Milano,AC Milan,Federico Dimarco,"Federico Dimarco, Sinistro, 1° gol stagionaleAssist:Lautaro Martínez, Passaggio, 1° assist stagionale"
4158,2024,5,FC Internazionale Milano,AC Milan,Matteo Gabbia,"Matteo Gabbia, Colpo di testa, 1° gol stagionaleAssist:Tijjani Reijnders, Punizione, 2° assist stagionale"
4159,2024,6,AC Milan,US Lecce,Álvaro Morata,"Álvaro Morata, Colpo di testa, 2° gol stagionaleAssist:Theo Hernández, Punizione, 1° assist stagionale"
4160,2024,6,AC Milan,US Lecce,Theo Hernández,"Theo Hernández, Sinistro, 2° gol stagionaleAssist:Rafael Leão, Passaggio, 4° assist stagionale"
4161,2024,6,AC Milan,US Lecce,Christian Pulisic,"Christian Pulisic, Sinistro, 4° gol stagionaleAssist: Senza assist"
4162,2024,7,ACF Fiorentina,AC Milan,Yacine Adli,"Yacine Adli, Destro, 1° gol stagionaleAssist:Robin Gosens, Rimessa laterale, 2° assist stagionale"
4163,2024,7,ACF Fiorentina,AC Milan,Christian Pulisic,"Christian Pulisic, Destro, 5° gol stagionaleAssist:Theo Hernández, Cross, 2° assist stagionale"
4164,2024,7,ACF Fiorentina,AC Milan,Albert Gudmundsson,"Albert Gudmundsson, Destro, 3° gol stagionaleAssist:Moise Kean, Passaggio, 1° assist stagionale"
4165,2024,8,AC Milan,Udinese Calcio,Samuel Chukwueze,"Samuel Chukwueze, Sinistro, 1° gol stagionaleAssist:Christian Pulisic, Passaggio, 3° assist stagionale"
4166,2024,10,AC Milan,SSC Napoli,Romelu Lukaku,"Romelu Lukaku, Sinistro, 4° gol stagionaleAssist:Frank Anguissa, Passaggio, 1° assist stagionale"
4167,2024,10,AC Milan,SSC Napoli,Khvicha Kvaratskhelia,"Khvicha Kvaratskhelia, Destro, 5° gol stagionaleAssist:Mathías Olivera, Passaggio, 2° assist stagionale"
4168,2024,11,AC Monza,AC Milan,Tijjani Reijnders,"Tijjani Reijnders, Colpo di testa, 1° gol stagionaleAssist:Álvaro Morata, Tiro in porta, 1° assist stagionale"
4169,2024,12,Cagliari Calcio,AC Milan,Nadir Zortea,"Nadir Zortea, Destro, 2° gol stagionaleAssist:Sebastiano Luperto, Colpo di testa, 3° assist stagionale"
4170,2024,12,Cagliari Calcio,AC Milan,Rafael Leão,"Rafael Leão, Destro, 2° gol stagionaleAssist:Tijjani Reijnders, Passaggio, 3° assist stagionale"
4171,2024,12,Cagliari Calcio,AC Milan,Rafael Leão,"Rafael Leão, Azione in contropiede, 3° gol stagionaleAssist:Youssouf Fofana, Passaggio, 1° assist stagionale"
4172,2024,12,Cagliari Calcio,AC Milan,Gabriele Zappa,"Gabriele Zappa, Destro, 1° gol stagionaleAssist: Senza assist"
