Name,Role,Market Value,Squadra
Josep Martínez,"Josep Martínez            




            Portiere","12,00 mln €",Inter
Yann Sommer,"Yann Sommer            




            Portiere","4,00 mln €",Inter
Andrei Radu,"Andrei Radu            




            Portiere","1,50 mln €",Inter
Raffaele Di Gennaro,"Raffaele Di Gennaro  




            Portiere",300 mila €,Inter
Alessandro Bastoni,"Alessandro Bastoni            




            Difensore centrale","75,00 mln €",Inter
Benjamin Pavard,"Benjamin Pavard  




            Difensore centrale","40,00 mln €",Inter
Yann Bisseck,"Yann Bisseck            




            Difensore centrale","30,00 mln €",Inter
Stefan de Vrij,"Stefan de Vrij            




            Difensore centrale","7,00 mln €",Inter
Tomás Palacios,"Tomás Palacios            




            Difensore centrale","6,00 mln €",Inter
Francesco Acerbi,"Francesco Acerbi  




            Difensore centrale","3,00 mln €",Inter
Federico Dimarco,"Federico Dimarco            




            Terzino sinistro","60,00 mln €",Inter
Carlos Augusto,"Carlos Augusto            




            Terzino sinistro","22,00 mln €",Inter
Denzel Dumfries,"Denzel Dumfries            




            Terzino destro","20,00 mln €",Inter
Matteo Darmian,"Matteo Darmian  




            Terzino destro","4,00 mln €",Inter
Hakan Çalhanoğlu,"Hakan Çalhanoğlu            




            Mediano","40,00 mln €",Inter
Kristjan Asllani,"Kristjan Asllani            




            Mediano","18,00 mln €",Inter
Nicolò Barella,"Nicolò Barella            




            Centrale","80,00 mln €",Inter
Davide Frattesi,"Davide Frattesi            




            Centrale","32,00 mln €",Inter
Piotr Zieliński,"Piotr Zieliński            




            Centrale","18,00 mln €",Inter
Henrikh Mkhitaryan,"Henrikh Mkhitaryan            




            Centrale","5,00 mln €",Inter
Tajon Buchanan,"Tajon Buchanan            




            Centrocampista di destra","8,00 mln €",Inter
Joaquín Correa,"Joaquín Correa            




            Seconda punta","3,00 mln €",Inter
Lautaro Martínez,"Lautaro Martínez  




            Punta centrale","100,00 mln €",Inter
Marcus Thuram,"Marcus Thuram            




            Punta centrale","75,00 mln €",Inter
Mehdi Taremi,"Mehdi Taremi            




            Punta centrale","8,00 mln €",Inter
Marko Arnautovic,"Marko Arnautovic            




            Punta centrale","3,50 mln €",Inter
Michele Di Gregorio,"Michele Di Gregorio            




            Portiere","18,00 mln €",Juventus FC
Mattia Perin,"Mattia Perin            




            Portiere","3,00 mln €",Juventus FC
Carlo Pinsoglio,"Carlo Pinsoglio            




            Portiere",200 mila €,Juventus FC
Bremer,"Bremer  




            Difensore centrale","60,00 mln €",Juventus FC
Pierre Kalulu,"Pierre Kalulu            




            Difensore centrale","26,00 mln €",Juventus FC
Federico Gatti,"Federico Gatti            




            Difensore centrale","25,00 mln €",Juventus FC
Danilo,"Danilo  




            Difensore centrale","4,00 mln €",Juventus FC
Andrea Cambiaso,"Andrea Cambiaso            




            Terzino sinistro","40,00 mln €",Juventus FC
Juan Cabal,"Juan Cabal  




            Terzino sinistro","9,00 mln €",Juventus FC
Jonas Rouhi,"Jonas Rouhi            




            Terzino sinistro","2,00 mln €",Juventus FC
Nicolò Savona,"Nicolò Savona            




            Terzino destro","14,00 mln €",Juventus FC
Manuel Locatelli,"Manuel Locatelli  




            Mediano","28,00 mln €",Juventus FC
Arthur Melo,"Arthur Melo            




            Mediano","5,00 mln €",Juventus FC
Douglas Luiz,"Douglas Luiz            




            Centrale","45,00 mln €",Juventus FC
Khéphren Thuram,"Khéphren Thuram            




            Centrale","35,00 mln €",Juventus FC
Weston McKennie,"Weston McKennie            




            Centrale","24,00 mln €",Juventus FC
Nicolò Fagioli,"Nicolò Fagioli            




            Centrale","20,00 mln €",Juventus FC
Teun Koopmeiners,"Teun Koopmeiners            




            Trequartista","50,00 mln €",Juventus FC
Vasilije Adžić,"Vasilije Adžić            




            Trequartista","2,00 mln €",Juventus FC
Kenan Yıldız,"Kenan Yıldız            




            Ala sinistra","45,00 mln €",Juventus FC
Samuel Mbangula,"Samuel Mbangula            




            Ala sinistra","8,00 mln €",Juventus FC
Francisco Conceição,"Francisco Conceição            




            Ala destra","36,00 mln €",Juventus FC
Nico González,"Nico González            




            Ala destra","35,00 mln €",Juventus FC
Timothy Weah,"Timothy Weah            




            Ala destra","17,00 mln €",Juventus FC
Dušan Vlahović,"Dušan Vlahović            




            Punta centrale","60,00 mln €",Juventus FC
Arkadiusz Milik,"Arkadiusz Milik            




            Punta centrale","4,00 mln €",Juventus FC
Mike Maignan,"Mike Maignan            




            Portiere","35,00 mln €",AC Milan
Marco Sportiello,"Marco Sportiello            




            Portiere","1,50 mln €",AC Milan
Lorenzo Torriani,"Lorenzo Torriani            




            Portiere",500 mila €,AC Milan
Fikayo Tomori,"Fikayo Tomori            




            Difensore centrale","22,00 mln €",AC Milan
Malick Thiaw,"Malick Thiaw            




            Difensore centrale","20,00 mln €",AC Milan
Matteo Gabbia,"Matteo Gabbia            




            Difensore centrale","20,00 mln €",AC Milan
Strahinja Pavlović,"Strahinja Pavlović            




            Difensore centrale","17,00 mln €",AC Milan
Theo Hernández,"Theo Hernández            




            Terzino sinistro","50,00 mln €",AC Milan
Emerson Royal,"Emerson Royal            




            Terzino destro","14,00 mln €",AC Milan
Davide Calabria,"Davide Calabria  




            Terzino destro","7,50 mln €",AC Milan
Álex Jiménez,"Álex Jiménez            




            Terzino destro","5,00 mln €",AC Milan
Filippo Terracciano,"Filippo Terracciano            




            Terzino destro","4,50 mln €",AC Milan
