Name,Role,Market Value,Squadra
Alex Meret,"Alex Meret            




            Portiere","18,00 mln €",SSC Napoli
Pierluigi Gollini,"Pierluigi Gollini            




            Portiere","4,50 mln €",SSC Napoli
Salvatore Sirigu,"Salvatore Sirigu            




            Portiere",500 mila €,SSC Napoli
Hubert Idasiak,"Hubert Idasiak            




            Portiere",150 mila €,SSC Napoli
Valerio Boffelli,"Valerio Boffelli            




            Portiere",75 mila €,SSC Napoli
Davide Marfella,"Davide Marfella            




            Portiere",50 mila €,SSC Napoli
Min-jae Kim,"Min-jae Kim            




            Difensore centrale","60,00 mln €",SSC Napoli
Amir Rrahmani,"Amir Rrahmani            




            Difensore centrale","25,00 mln €",SSC Napoli
Leo Østigård,"Leo Østigård            




            Difensore centrale","7,00 mln €",SSC Napoli
Juan Jesus,"Juan Jesus            




            Difensore centrale","3,50 mln €",SSC Napoli
Mathías Olivera,"Mathías Olivera            




            Terzino sinistro","18,00 mln €",SSC Napoli
Mário Rui,"Mário Rui            




            Terzino sinistro","8,00 mln €",SSC Napoli
Giovanni Di Lorenzo,"Giovanni Di Lorenzo  




            Terzino destro","25,00 mln €",SSC Napoli
Alessandro Zanoli,"Alessandro Zanoli            




            Terzino destro","6,00 mln €",SSC Napoli
Bartosz Bereszyński,"Bartosz Bereszyński  




            Terzino destro","1,60 mln €",SSC Napoli
Stanislav Lobotka,"Stanislav Lobotka            




            Mediano","40,00 mln €",SSC Napoli
Diego Demme,"Diego Demme            




            Mediano","3,00 mln €",SSC Napoli
Frank Anguissa,"Frank Anguissa            




            Centrale","40,00 mln €",SSC Napoli
Piotr Zieliński,"Piotr Zieliński            




            Centrale","35,00 mln €",SSC Napoli
Tanguy Ndombélé,"Tanguy Ndombélé            




            Centrale","22,00 mln €",SSC Napoli
Karim Zedadka,"Karim Zedadka            




            Centrocampista di sinistra",200 mila €,SSC Napoli
Eljif Elmas,"Eljif Elmas  




            Trequartista","26,00 mln €",SSC Napoli
Gianluca Gaetano,"Gianluca Gaetano            




            Trequartista","4,50 mln €",SSC Napoli
Khvicha Kvaratskhelia,"Khvicha Kvaratskhelia            




            Ala sinistra","85,00 mln €",SSC Napoli
Hirving Lozano,"Hirving Lozano            




            Ala sinistra","25,00 mln €",SSC Napoli
Alessio Zerbin,"Alessio Zerbin            




            Ala sinistra","4,00 mln €",SSC Napoli
Matteo Politano,"Matteo Politano            




            Ala destra","15,00 mln €",SSC Napoli
Adam Ounas,"Adam Ounas            




            Ala destra","7,00 mln €",SSC Napoli
Giacomo Raspadori,"Giacomo Raspadori            




            Seconda punta","35,00 mln €",SSC Napoli
Victor Osimhen,"Victor Osimhen            




            Punta centrale","120,00 mln €",SSC Napoli
Giovanni Simeone,"Giovanni Simeone            




            Punta centrale","15,00 mln €",SSC Napoli
André Onana,"André Onana            




            Portiere","35,00 mln €",Inter
Samir Handanovič,"Samir Handanovič            




            Portiere",500 mila €,Inter
Gabriel Brazão,"Gabriel Brazão            




            Portiere",400 mila €,Inter
Alex Cordaz,"Alex Cordaz            




            Portiere",200 mila €,Inter
Nikolaos Botis,"Nikolaos Botis  




            Portiere",100 mila €,Inter
Alessandro Bastoni,"Alessandro Bastoni            




            Difensore centrale","60,00 mln €",Inter
Milan Skriniar,"Milan Skriniar            




            Difensore centrale","50,00 mln €",Inter
Stefan de Vrij,"Stefan de Vrij            




            Difensore centrale","8,00 mln €",Inter
Francesco Acerbi,"Francesco Acerbi  




            Difensore centrale","4,00 mln €",Inter
Danilo D'Ambrosio,"Danilo D'Ambrosio            




            Difensore centrale","1,50 mln €",Inter
Alessandro Fontanarosa,"Alessandro Fontanarosa            




            Difensore centrale",400 mila €,Inter
Federico Dimarco,"Federico Dimarco            




            Terzino sinistro","35,00 mln €",Inter
Robin Gosens,"Robin Gosens            




            Terzino sinistro","15,00 mln €",Inter
Dalbert,"Dalbert            




            Terzino sinistro","1,00 mln €",Inter
Denzel Dumfries,"Denzel Dumfries            




            Terzino destro","28,00 mln €",Inter
Matteo Darmian,"Matteo Darmian  




            Terzino destro","4,00 mln €",Inter
Mattia Zanotti,"Mattia Zanotti            




            Terzino destro",800 mila €,Inter
Hakan Çalhanoğlu,"Hakan Çalhanoğlu            




            Mediano","40,00 mln €",Inter
Marcelo Brozović,"Marcelo Brozović  




            Mediano","25,00 mln €",Inter
Kristjan Asllani,"Kristjan Asllani            




            Mediano","12,00 mln €",Inter
Lucien Agoumé,"Lucien Agoumé            




            Mediano","7,00 mln €",Inter
Aleksandar Stankovic,"Aleksandar Stankovic            




            Mediano",-,Inter
Nicolò Barella,"Nicolò Barella            




            Centrale","75,00 mln €",Inter
Henrikh Mkhitaryan,"Henrikh Mkhitaryan            




            Centrale","6,00 mln €",Inter
