,anno,giornata,Home Team,Away Team,scorer,numero_goal_partita,team_goal,goal,goal_home,goal_away,assist
4215,2024,8,Venezia FC,Atalanta BC,Mario Pasalic,1.0,away,0:1,0.0,1.0,Mateo Retegui
4216,2024,8,Venezia FC,Atalanta BC,Mateo Retegui,2.0,away,0:2,0.0,2.0,Senza assist
4217,2024,9,Atalanta BC,Hellas Verona FC,Marten de Roon,1.0,home,1:0,1.0,0.0,Ademola Lookman
4218,2024,9,Atalanta BC,Hellas Verona FC,Mateo Retegui,2.0,home,2:0,2.0,0.0,Senza assist
4219,2024,9,Atalanta BC,Hellas Verona FC,Charles De Ketelaere,3.0,home,3:0,3.0,0.0,Ademola Lookman
4220,2024,9,Atalanta BC,Hellas Verona FC,Ademola Lookman,4.0,home,4:0,4.0,0.0,Senza assist
4221,2024,9,Atalanta BC,Hellas Verona FC,Ademola Lookman,5.0,home,5:0,5.0,0.0,Charles De Ketelaere
4222,2024,9,Atalanta BC,Hellas Verona FC,Amin Sarr,6.0,away,5:1,5.0,1.0,Reda Belahyane
4223,2024,9,Atalanta BC,Hellas Verona FC,Mateo Retegui,7.0,home,6:1,6.0,1.0,Charles De Ketelaere
4224,2024,10,Atalanta BC,AC Monza,Lazar Samardžić,1.0,home,1:0,1.0,0.0,Mateo Retegui
4225,2024,10,Atalanta BC,AC Monza,Davide Zappacosta,2.0,home,2:0,2.0,0.0,Lazar Samardžić
4226,2024,11,SSC Napoli,Atalanta BC,Ademola Lookman,1.0,away,0:1,0.0,1.0,Charles De Ketelaere
4227,2024,11,SSC Napoli,Atalanta BC,Ademola Lookman,2.0,away,0:2,0.0,2.0,Charles De Ketelaere
4228,2024,11,SSC Napoli,Atalanta BC,Mateo Retegui,3.0,away,0:3,0.0,3.0,Raoul Bellanova
4229,2024,12,Atalanta BC,Udinese Calcio,Hassane Kamara,1.0,away,0:1,0.0,1.0,Florian Thauvin
4230,2024,12,Atalanta BC,Udinese Calcio,Mario Pasalic,2.0,home,1:1,1.0,1.0,Raoul Bellanova
4231,2024,12,Atalanta BC,Udinese Calcio,Isaak Touré,3.0,home,2:1,2.0,1.0,Raoul Bellanova
4232,2024,13,AS Roma,Atalanta BC,Mateo Retegui,1.0,away,0:1,0.0,1.0,Raoul Bellanova
4233,2024,13,AS Roma,Atalanta BC,Éderson,2.0,away,0:2,0.0,2.0,Matteo Ruggeri
4234,2024,13,AS Roma,Atalanta BC,Matteo Cancellieri,3.0,home,1:2,1.0,2.0,Valentin Mihăilă
4235,2024,13,AS Roma,Atalanta BC,Ademola Lookman,4.0,away,1:3,1.0,3.0,Juan Cuadrado
4236,2024,14,AS Roma,Atalanta BC,Marten de Roon,1.0,away,0:1,0.0,1.0,Senza assist
4237,2024,14,AS Roma,Atalanta BC,Nicolò Zaniolo,2.0,away,0:2,0.0,2.0,Juan Cuadrado
4241,2024,16,Cagliari Calcio,Atalanta BC,Nicolò Zaniolo,1.0,away,0:1,0.0,1.0,Raoul Bellanova
4242,2024,17,Atalanta BC,Empoli FC,Lorenzo Colombo,1.0,away,0:1,0.0,1.0,Liam Henderson
4243,2024,17,Atalanta BC,Empoli FC,Charles De Ketelaere,2.0,home,1:1,1.0,1.0,Davide Zappacosta
4244,2024,17,Atalanta BC,Empoli FC,Ademola Lookman,3.0,home,2:1,2.0,1.0,Nicolò Zaniolo
4245,2024,17,Atalanta BC,Empoli FC,Sebastiano Esposito,4.0,away,2:2,2.0,2.0,Alberto Grassi
4246,2024,17,Atalanta BC,Empoli FC,Charles De Ketelaere,5.0,home,3:2,3.0,2.0,Mario Pasalic
4247,2024,18,SS Lazio,Atalanta BC,Fisayo Dele-Bashiru,1.0,home,1:0,1.0,0.0,Nicolò Rovella
4248,2024,18,SS Lazio,Atalanta BC,Marco Brescianini,2.0,away,1:1,1.0,1.0,Ademola Lookman
4249,2024,1,Hellas Verona FC,SSC Napoli,Dailon Rocha Livramento,1.0,home,1:0,1.0,0.0,Darko Lazović
4250,2024,1,Hellas Verona FC,SSC Napoli,Daniel Mosquera,2.0,home,2:0,2.0,0.0,Ondrej Duda
4251,2024,1,Hellas Verona FC,SSC Napoli,Daniel Mosquera,3.0,home,3:0,3.0,0.0,Darko Lazović
4252,2024,2,SSC Napoli,Bologna FC 1909,Giovanni Di Lorenzo,1.0,home,1:0,1.0,0.0,Khvicha Kvaratskhelia
4253,2024,2,SSC Napoli,Bologna FC 1909,Khvicha Kvaratskhelia,2.0,home,2:0,2.0,0.0,Amir Rrahmani
4254,2024,2,SSC Napoli,Bologna FC 1909,Giovanni Simeone,3.0,home,3:0,3.0,0.0,David Neres
4255,2024,3,SSC Napoli,AS Roma,Ange-Yoan Bonny,1.0,away,0:1,0.0,1.0,Ange-Yoan Bonny
4256,2024,3,SSC Napoli,AS Roma,Romelu Lukaku,2.0,home,1:1,1.0,1.0,Leonardo Spinazzola
4257,2024,3,SSC Napoli,AS Roma,Frank Anguissa,3.0,home,2:1,2.0,1.0,David Neres
4258,2024,4,Cagliari Calcio,SSC Napoli,Giovanni Di Lorenzo,1.0,away,0:1,0.0,1.0,Romelu Lukaku
4259,2024,4,Cagliari Calcio,SSC Napoli,Khvicha Kvaratskhelia,2.0,away,0:2,0.0,2.0,Romelu Lukaku
4260,2024,4,Cagliari Calcio,SSC Napoli,Romelu Lukaku,3.0,away,0:3,0.0,3.0,Khvicha Kvaratskhelia
4261,2024,4,Cagliari Calcio,SSC Napoli,Alessandro Buongiorno,4.0,away,0:4,0.0,4.0,David Neres
4263,2024,6,SSC Napoli,AC Monza,Matteo Politano,1.0,home,1:0,1.0,0.0,Senza assist
4264,2024,6,SSC Napoli,AC Monza,Khvicha Kvaratskhelia,2.0,home,2:0,2.0,0.0,Scott McTominay
4265,2024,7,SSC Napoli,Como 1907,Scott McTominay,1.0,home,1:0,1.0,0.0,Romelu Lukaku
4266,2024,7,SSC Napoli,Como 1907,Gabriel Strefezza,2.0,away,1:1,1.0,1.0,Máximo Perrone
4267,2024,7,SSC Napoli,Como 1907,Romelu Lukaku,3.0,home,2:1,2.0,1.0,Mathías Olivera
4268,2024,7,SSC Napoli,Como 1907,David Neres,4.0,home,3:1,3.0,1.0,Romelu Lukaku
4269,2024,8,Empoli FC,SSC Napoli,Khvicha Kvaratskhelia,1.0,away,0:1,0.0,1.0,Matteo Politano
4270,2024,9,SSC Napoli,US Lecce,Giovanni Di Lorenzo,1.0,home,1:0,1.0,0.0,Scott McTominay
4278,2024,13,SSC Napoli,AS Roma,Romelu Lukaku,1.0,home,1:0,1.0,0.0,Giovanni Di Lorenzo
4279,2024,14,Torino FC,SSC Napoli,Scott McTominay,1.0,away,0:1,0.0,1.0,Khvicha Kvaratskhelia
4280,2024,15,SSC Napoli,SS Lazio,Gustav Isaksen,1.0,away,0:1,0.0,1.0,Tijjani Noslin
4281,2024,16,Udinese Calcio,SSC Napoli,Florian Thauvin,1.0,home,1:0,1.0,0.0,Senza assist
4282,2024,16,Udinese Calcio,SSC Napoli,Romelu Lukaku,2.0,away,1:1,1.0,1.0,Scott McTominay
4283,2024,16,Udinese Calcio,SSC Napoli,Lautaro Giannetti,3.0,away,1:2,1.0,2.0,David Neres
4284,2024,16,Udinese Calcio,SSC Napoli,Frank Anguissa,4.0,away,1:3,1.0,3.0,Giovanni Simeone
4285,2024,17,Genoa CFC,SSC Napoli,Frank Anguissa,1.0,away,0:1,0.0,1.0,David Neres
4286,2024,17,Genoa CFC,SSC Napoli,Amir Rrahmani,2.0,away,0:2,0.0,2.0,Stanislav Lobotka
4287,2024,17,Genoa CFC,SSC Napoli,Andrea Pinamonti,3.0,home,1:2,1.0,2.0,Vitinha
4288,2024,18,SSC Napoli,Venezia FC,Giacomo Raspadori,1.0,home,1:0,1.0,0.0,Senza assist
4289,2024,19,ACF Fiorentina,SSC Napoli,David Neres,1.0,away,0:1,0.0,1.0,Romelu Lukaku
